Taxon	M352	M420	M485	M353	M474	M435	M480	M318	M487	M396	M516	M449	M374	M529	M444	M373	M357	M517	M511	M509	M476	M494	M479	M433	M488	M498	M501	M414	M386	M507	M390	M379	M484	M442	M524	M465	M375	M388	M367	M481	M417	M359	M413	M436	M473	M398	M366	M427	M430	M526	M471	M399	M372	M530	M446	M477	M384	M443	M475	M450	M441	M463	M407	M393	M513	M499	M458	M431	M452	M448	M428	M490	H2O	Undetermined	BLEACH
Kinneretia sp. DAIF2	10596	1444	2949	834	1670	2444	3718	218	1410	1006	759	730	343	118	191	0	381	572	562	164	221	269	0	207	139	0	121	0	177	202	213	0	0	442	657	337	363	275	132	0	126	0	141	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2521	411	24252
Mitsuaria sp. 7	967	622	1331	664	754	2744	5805	0	676	664	927	577	134	0	135	0	893	1159	538	117	106	123	0	0	0	0	175	0	182	529	0	112	0	669	0	0	475	117	420	0	0	237	124	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6598	535	8624
Rhodopseudomonas palustris	308	337	376	0	161	814	9579	0	943	2146	3852	713	0	501	0	0	0	2739	4875	0	0	249	0	129	0	0	594	0	0	812	0	0	0	0	0	0	634	0	192	0	0	108	132	0	0	0	0	167	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	461	23959
Corynebacterium kefirresidentii	201	415	0	156	0	3682	3525	237	0	103	219	360	1019	0	128	402	0	859	1903	3603	2947	501	433	2928	771	683	2912	1392	0	263	0	424	0	1017	0	0	0	0	0	0	0	182	554	138	0	155	212	106	0	128	0	124	0	0	172	2982	0	0	0	170	149	209	0	0	0	0	3781	3873	388	125	0	0	0	459	485
Staphylococcus epidermidis	800	843	128	0	150	241	1046	576	295	122	1820	390	439	183	169	0	845	131	990	1739	819	0	0	13492	2415	706	1807	2086	0	0	0	0	0	440	0	0	0	0	0	0	106	112	531	0	0	329	0	135	0	0	0	0	120	0	227	277	0	128	0	0	0	133	0	0	0	0	2934	3537	229	0	0	0	1009	408	837
Corynebacterium tuberculostearicum	0	0	0	0	0	292	421	118	0	0	0	0	0	0	0	0	0	0	1058	1441	241	0	228	502	998	267	546	2775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	275	0	0	0	0	114	211	173
Cutibacterium granulosum	213	0	0	0	0	0	390	0	0	0	302	125	127	0	0	0	0	160	649	437	598	0	0	240	195	139	360	0	0	0	0	0	0	451	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	477	163	0	0	0	0	0	0	103
Lawsonella clevelandensis	233	0	0	0	0	818	1406	512	0	0	161	0	0	0	0	0	0	2155	1125	298	0	0	0	1021	1765	501	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	400	0	130	0	0	0	0	136	0	172	239	0	0	0	115	0	0	0	0	0	267	538	138	0	0	0	171	152	342
Staphylococcus aureus	0	6491	162	212	0	3032	106	0	0	0	201	0	0	0	0	385	0	255	0	174	346	0	0	3645	0	182	0	0	0	0	0	189	226	711	103	0	0	102	0	150	0	0	0	0	0	0	0	0	1221	0	0	2761	3552	0	1508	0	141	0	0	0	0	22785	328	1097	0	0	86630	457789	0	0	202	5872	0	5632	329
Corynebacterium segmentosum	0	1091	132	0	2660	435	18377	17474	101	0	808	1523	3116	0	0	0	456	3168	7107	2036	10552	5477	25552	0	37904	9981	637	51581	517	0	690	300	1283	0	0	0	0	0	0	0	0	299	0	0	0	481	214	2043	2327	114	0	0	0	116	125	600	120	1905	641	4454	2766	0	0	0	0	0	5128	13723	648	892	0	0	187	2300	0
Escherichia coli	317	209	562	127	174	399	236	0	149	165	241	0	111	0	186	0	117	176	0	0	0	0	102	0	0	104	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	233	1169
Pseudomonas aeruginosa	266	475	163	117	321	213	146	0	238	0	206	0	0	0	0	0	133	128	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	121	3296
Sphingobium amiense	810	320	449	280	753	638	381	0	311	104	122	0	0	0	107	0	223	169	110	0	0	129	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	138	4679
Sphingomonas sp. IC081	1203	309	312	312	570	518	385	0	210	0	0	0	0	0	0	0	120	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845	0	2792
Novosphingobium resinovorum	1047	304	603	220	1487	958	400	0	316	0	101	0	0	0	127	0	193	148	182	0	0	122	0	147	0	0	0	0	0	0	0	0	0	0	0	120	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	142	8761
Sphingomonas sp. AP4-R1	774	340	380	227	1074	651	420	0	222	0	0	0	0	0	0	0	161	136	0	0	0	131	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	112	4505
Sphingobium sp. YBL2	1964	246	388	139	1645	1150	242	137	524	161	151	0	0	0	124	0	217	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	211	6174
Sphingobium sp. TKS	1358	271	327	145	1684	812	327	0	365	118	0	0	0	0	0	0	110	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	126	10242
Sphingobium sp. CAP-1	670	199	415	0	642	636	244	0	187	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	0	3549
Roseateles depolymerans	1000	370	619	194	394	508	555	0	323	180	181	174	0	0	0	0	241	119	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	121	4381
Paucibacter sp. KCTC 42545	582	233	450	118	303	361	452	0	213	154	129	101	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	2309
Inhella inkyongensis	612	252	489	112	791	360	433	0	203	122	0	126	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	3296
Delftia acidovorans	823	255	183	166	595	673	383	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	810
Acidovorax citrulli	1135	215	365	189	217	352	653	0	163	0	108	117	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	4129
Rubrivivax gelatinosus	476	179	350	133	262	410	474	0	207	139	117	110	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	2464
Sphingobium cloacae	912	980	645	277	915	904	775	124	337	159	159	0	0	0	119	0	358	389	251	0	185	129	0	115	0	0	0	0	129	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	179	7721
Pseudomonas stutzeri	938	185	258	166	358	257	250	0	138	0	0	0	0	0	0	361	123	254	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	2243
Sphingopyxis granuli	147	630	795	302	377	0	632	0	0	0	0	0	0	0	0	0	168	117	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	0	7801
Novosphingobium sp. P6W	365	144	114	0	274	246	169	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	7242
Sphingobium sp. RAC03	1143	0	163	0	1207	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	2526
Novosphingobium pentaromativorans	222	0	160	0	344	192	193	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	1913
Sphingomonas sp. C8-2	1116	0	191	0	420	447	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	3394
Novosphingobium sp. PP1Y	452	226	280	0	380	430	175	0	175	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	2453
Sphingomonas alpina	926	155	413	110	540	622	232	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	4702
Croceicoccus marinus	542	142	223	0	283	569	259	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	4288
Sphingomonas wittichii	917	117	326	160	998	332	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	5660
Rhizorhabdus dicambivorans	359	243	162	0	442	207	134	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	2017
Sphingobium baderi	221	258	146	0	701	114	252	0	147	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	2180
Sphingobium chlorophenolicum	319	0	0	0	275	162	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	753
Sphingobium japonicum	282	137	121	0	386	314	138	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	1739
Novosphingobium ginsenosidimutans	288	113	148	0	381	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	1722
Methylibium sp. Pch-M	250	146	209	0	134	148	227	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	1482
Novosphingobium sp. Gsoil 351	271	146	148	0	236	282	135	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	1978
Sphingomonas sanxanigenens	210	0	173	0	214	212	110	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	1660
Sphingomonas sp. FARSPH	1039	0	104	0	213	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	1995
Sphingomonas sp. AAP5	1663	0	0	0	309	536	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	529
Brevundimonas sp. 'scallop'	439	0	102	0	493	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	2453
Sphingomonas panacis	252	339	149	0	158	205	0	0	145	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	1162
Tardibacter chloracetimidivorans	0	0	0	0	0	154	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0
Porphyrobacter sp. YT40	135	0	0	0	106	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	332
Hydrogenophaga sp. BA0156	114	123	195	0	164	190	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	468
Rhizobacter gummiphilus	319	147	231	0	122	148	279	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	1346
Methylibium petroleiphilum	558	245	367	0	119	270	496	0	165	0	0	113	272	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	1350
Schlegelella thermodepolymerans	255	0	200	0	120	184	161	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	1443
Comamonas testosteroni	470	178	230	0	136	251	270	0	156	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	2248
Achromobacter denitrificans	310	139	275	0	160	319	362	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	1286
Burkholderia cenocepacia	380	104	291	0	142	225	403	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	848
Leptothrix cholodnii	388	139	355	0	132	214	323	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	2665
Sphaerotilus natans	290	113	200	127	157	165	229	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	1514
Alicycliphilus denitrificans	238	128	312	0	118	179	253	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	2459
Thauera sp. K11	234	115	258	0	0	113	236	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	1119
Hydrogenophaga pseudoflava	247	132	162	0	0	134	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792
Ramlibacter tataouinensis	345	0	243	0	147	244	105	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	437
Enterobacter sp. E76	174	0	150	0	106	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615
Variovorax sp. HW608	231	0	164	0	181	109	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1520
Ralstonia insidiosa	809	113	167	0	0	0	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	1415
Sphingobium sp. SYK-6	663	0	0	221	679	328	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	695
Sphingopyxis macrogoltabida	0	114	0	0	0	170	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738
Tsuneonella amylolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	759
Sphingomonas sp. CL5.1	185	180	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	761
